"TOA5","CR200Series","CR200X","No_SN","CR200X.Std.03","AHSGP_May2014B.CR2","50701","Min15"
"TIMESTAMP","RECORD","AirTC_Avg","AirTC_2_Avg","RH","RH_2","LWmV_Avg","LWmV_2_Avg","LWMDry_Tot","LWMDry_2_Tot","LWMCon_Tot","LWMCon_2_Tot","LWMWet_Tot","LWMWet_2_Tot","Rain_mm_Tot"
"TS","RN","Deg C","Deg C","%","%","mV","mV","Minutes","Minutes","Minutes","Minutes","Minutes","Minutes","mm"
"","","Avg","Avg","Smp","Smp","Avg","Avg","Tot","Tot","Tot","Tot","Tot","Tot","Tot"
"2015-03-07 14:45:00",23918,7.363001,8.190333,34.476,33.658,270.1508,268.3783,15,15,0,0,0,0,0
"2015-03-07 15:00:00",23919,7.338933,8.057866,35.224,34.669,270.6564,268.7537,15,15,0,0,0,0,0
"2015-03-07 15:15:00",23920,7.306067,8.057933,37.763,37.029,270.6605,268.8422,15,15,0,0,0,0,0
"2015-03-07 15:30:00",23921,7.6476,8.275133,39.691,39.427,270.6178,268.712,15,15,0,0,0,0,0
"2015-03-07 15:45:00",23922,8.089533,8.771667,36.802,36.094,270.629,268.7507,15,15,0,0,0,0,0
"2015-03-07 16:00:00",23923,8.389334,9.024334,35.984,35.335,270.6178,268.8474,15,15,0,0,0,0,0
"2015-03-07 16:15:00",23924,8.799733,9.548933,36.886,36.583,270.6086,268.5227,15,15,0,0,0,0,0
"2015-03-07 16:30:00",23925,8.723666,9.498067,38.507,38.399,270.803,268.7568,15,15,0,0,0,0,0
"2015-03-07 16:45:00",23926,8.502867,9.165934,41.821,41.281,271.1754,269.2126,15,15,0,0,0,0,0
"2015-03-07 17:00:00",23927,8.453334,9.1692,40.601,40.178,271.2619,269.116,15,15,0,0,0,0,0
"2015-03-07 17:15:00",23928,8.940334,9.624133,37.988,37.059,271.1805,269.0895,15,15,0,0,0,0,0
"2015-03-07 17:30:00",23929,9.050333,9.754733,38.284,37.32,271.3402,269.235,15,15,0,0,0,0,0
