begintime,records,battV_min,airTC_avg,relav_humid,LWmV_avg,LWMdry_tot,LWMcon_tot,LWMwet_tot,rain_mm_tot,time_interval,hydrocode
2014-10-01 00:00:00,12602,NULL,15.5522,99.998,394.6757,0,0,15,0,15,AHSGP-O_air
2014-10-01 00:15:00,12603,NULL,15.52194,99.998,415.0529,0,0,16,0,15,AHSGP-O_air
2014-10-01 00:30:00,12604,NULL,15.44707,99.998,424.0611,0,0,15,0,15,AHSGP-O_air
2014-10-01 00:45:00,12605,NULL,15.5706,99.998,434.3277,0,0,15,0,15,AHSGP-O_air
2014-10-01 01:00:00,12606,NULL,15.66587,99.998,425.4347,0,0,15,0,15,AHSGP-O_air
2014-10-01 01:15:00,12607,NULL,15.744,99.998,509.2942,0,0,15,0,15,AHSGP-O_air
2014-10-01 01:30:00,12608,NULL,15.778,99.998,506.1908,0,0,15,0,15,AHSGP-O_air
2014-10-01 01:45:00,12609,NULL,15.74687,99.998,451.9233,0,0,15,0,15,AHSGP-O_air
2014-10-01 02:00:00,12610,NULL,15.83893,99.998,431.4115,0,0,15,0,15,AHSGP-O_air
2014-10-01 02:15:00,12611,NULL,15.85653,99.998,533.4425,0,0,15,0.508,15,AHSGP-O_air
2014-10-01 02:30:00,12612,NULL,15.84907,99.998,575.6364,0,0,15,0,15,AHSGP-O_air
2014-10-01 02:45:00,12613,NULL,15.835,99.998,472.7882,0,0,15,0,15,AHSGP-O_air
2014-10-01 03:00:00,12614,NULL,15.69727,99.998,459.7754,0,0,15,0.254,15,AHSGP-O_air
2014-10-01 03:15:00,12615,NULL,15.6726,99.998,452.4118,0,0,15,0,15,AHSGP-O_air
2014-10-01 03:30:00,12616,NULL,15.6604,99.998,546.4767,0,0,15,0,15,AHSGP-O_air
2014-10-01 03:45:00,12617,NULL,15.66174,99.998,502.2836,0,0,15,0.254,15,AHSGP-O_air
2014-10-01 04:00:00,12618,NULL,15.7628,99.998,398.0853,0,0,15,0,15,AHSGP-O_air
2014-10-01 04:15:00,12619,NULL,15.85253,99.998,455.4022,0,0,15,0,15,AHSGP-O_air
2014-10-01 04:30:00,12620,NULL,15.80533,99.998,526.9774,0,0,15,0.254,15,AHSGP-O_air
2014-10-01 04:45:00,12621,NULL,15.83153,99.998,531.6212,0,0,15,0,15,AHSGP-O_air
2014-10-01 05:00:00,12622,NULL,15.82133,99.998,568.583,0,0,15,0.508,15,AHSGP-O_air
2014-10-01 05:15:00,12623,NULL,15.8328,99.998,519.2606,0,0,15,0,15,AHSGP-O_air
2014-10-01 05:30:00,12624,NULL,15.76913,99.998,551.8359,0,0,15,0.254,15,AHSGP-O_air
2014-10-01 05:45:00,12625,NULL,15.75967,99.998,425.9048,0,0,15,0,15,AHSGP-O_air
2014-10-01 06:00:00,12626,NULL,15.65287,99.998,377.4545,0,0,15,0,15,AHSGP-O_air
2014-10-01 06:15:00,12627,NULL,15.5436,99.998,368.3336,0,0,15,0,15,AHSGP-O_air
2014-10-01 06:30:00,12628,NULL,15.4322,99.998,367.2632,0,0,15,0,15,AHSGP-O_air
2014-10-01 06:45:00,12629,NULL,15.31827,99.998,366.0859,0,0,15,0,15,AHSGP-O_air
2014-10-01 07:00:00,12630,NULL,15.3302,99.998,359.1129,0,0,15,0,15,AHSGP-O_air
2014-10-01 07:15:00,12631,NULL,15.23427,99.998,356.2009,0,0,15,0,15,AHSGP-O_air
2014-10-01 07:30:00,12632,NULL,15.2392,99.998,357.3914,0,0,15,0,15,AHSGP-O_air
2014-10-01 07:45:00,12633,NULL,15.25853,99.998,353.8871,0,0,15,0,15,AHSGP-O_air
2014-10-01 08:00:00,12634,NULL,15.23667,99.998,351.557,0,0,15,0,15,AHSGP-O_air
2014-10-01 08:15:00,12635,NULL,15.32173,99.998,343.3315,0,0,15,0,15,AHSGP-O_air
2014-10-01 08:30:00,12636,NULL,15.57887,99.998,321.1378,0,0,15,0,15,AHSGP-O_air
2014-10-01 08:45:00,12637,NULL,15.67987,99.998,306.037,0,0,15,0,15,AHSGP-O_air
2014-10-01 09:00:00,12638,NULL,15.69193,99.998,300.2607,0,0,15,0.254,15,AHSGP-O_air
2014-10-01 09:15:00,12639,NULL,15.90953,99.998,296.037,0,0,15,0,15,AHSGP-O_air
2014-10-01 09:30:00,12640,NULL,15.90293,99.998,295.3858,0,0,15,0,15,AHSGP-O_air
